message,label
"Recebi seu e-mail, obrigado pelo envio.",mensagem_legitima
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
Já recebeu o relatório financeiro?,mensagem_legitima
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
"A senha do Wi-Fi mudou, te envio depois.",mensagem_legitima
Precisa de alguma coisa do supermercado?,mensagem_legitima
Amanhã estarei em home office.,mensagem_legitima
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
"Recebi seu e-mail, obrigado pelo envio.",mensagem_legitima
Vou te enviar o documento por e-mail.,mensagem_legitima
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
Clique no link para resgatar sua restituição de imposto.,golpe
Precisa de alguma coisa do supermercado?,mensagem_legitima
Já recebeu o relatório financeiro?,mensagem_legitima
O almoço está marcado para 13h.,mensagem_legitima
Precisa de alguma coisa do supermercado?,mensagem_legitima
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
Bom final de semana para todos!,mensagem_legitima
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Pode mandar o PDF do contrato?,mensagem_legitima
"Olá, aqui é do INSS. Verificamos um problema no seu benefício.",golpe
"PIX não identificado, envie novamente para regularizar.",golpe
Você possui valores a receber. Consulte agora mesmo!,golpe
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
Solicite seu FGTS emergencial. Clique aqui.,golpe
Vamos viajar no feriado?,mensagem_legitima
Clique no link para resgatar sua restituição de imposto.,golpe
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
Pode mandar o PDF do contrato?,mensagem_legitima
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
Clique no link para resgatar sua restituição de imposto.,golpe
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
O almoço está marcado para 13h.,mensagem_legitima
"A senha do Wi-Fi mudou, te envio depois.",mensagem_legitima
Você ganhou um desconto exclusivo. Cadastre aqui.,golpe
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
Amanhã estarei em home office.,mensagem_legitima
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
Você possui valores a receber. Consulte agora mesmo!,golpe
Você possui valores a receber. Consulte agora mesmo!,golpe
Vamos viajar no feriado?,mensagem_legitima
Você ganhou um desconto exclusivo. Cadastre aqui.,golpe
Receita Federal: notificação de pendência fiscal.,golpe
Amanhã estarei em home office.,mensagem_legitima
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
Pode confirmar presença na reunião amanhã?,mensagem_legitima
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
Pode mandar o PDF do contrato?,mensagem_legitima
Pode confirmar presença na reunião amanhã?,mensagem_legitima
Você ganhou um desconto exclusivo. Cadastre aqui.,golpe
Vou te enviar o documento por e-mail.,mensagem_legitima
Amanhã estarei em home office.,mensagem_legitima
Precisa de alguma coisa do supermercado?,mensagem_legitima
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
O pagamento do aluguel foi feito.,mensagem_legitima
O almoço está marcado para 13h.,mensagem_legitima
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
"Recebi seu e-mail, obrigado pelo envio.",mensagem_legitima
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
O pagamento do aluguel foi feito.,mensagem_legitima
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
Pode confirmar presença na reunião amanhã?,mensagem_legitima
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Vou te enviar o documento por e-mail.,mensagem_legitima
O pagamento do aluguel foi feito.,mensagem_legitima
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
"Recebi seu e-mail, obrigado pelo envio.",mensagem_legitima
Pode mandar o PDF do contrato?,mensagem_legitima
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
Receita Federal: notificação de pendência fiscal.,golpe
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
Clique no link para resgatar sua restituição de imposto.,golpe
O pagamento do aluguel foi feito.,mensagem_legitima
Clique no link para resgatar sua restituição de imposto.,golpe
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
Pode mandar o PDF do contrato?,mensagem_legitima
Bom final de semana para todos!,mensagem_legitima
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
Já recebeu o relatório financeiro?,mensagem_legitima
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
Pode confirmar presença na reunião amanhã?,mensagem_legitima
Já recebeu o relatório financeiro?,mensagem_legitima
Solicite seu FGTS emergencial. Clique aqui.,golpe
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
Bom final de semana para todos!,mensagem_legitima
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
"Olá, aqui é do INSS. Verificamos um problema no seu benefício.",golpe
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
"PIX não identificado, envie novamente para regularizar.",golpe
Solicite seu FGTS emergencial. Clique aqui.,golpe
Vamos viajar no feriado?,mensagem_legitima
Receita Federal: notificação de pendência fiscal.,golpe
Clique no link para resgatar sua restituição de imposto.,golpe
"A senha do Wi-Fi mudou, te envio depois.",mensagem_legitima
Vou te enviar o documento por e-mail.,mensagem_legitima
Precisa de alguma coisa do supermercado?,mensagem_legitima
"PIX não identificado, envie novamente para regularizar.",golpe
Solicite seu FGTS emergencial. Clique aqui.,golpe
"Olá, aqui é do INSS. Verificamos um problema no seu benefício.",golpe
Você ganhou um desconto exclusivo. Cadastre aqui.,golpe
O pagamento do aluguel foi feito.,mensagem_legitima
Você possui valores a receber. Consulte agora mesmo!,golpe
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
Vou te enviar o documento por e-mail.,mensagem_legitima
O pagamento do aluguel foi feito.,mensagem_legitima
Vamos viajar no feriado?,mensagem_legitima
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
Pode mandar o PDF do contrato?,mensagem_legitima
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
Vou te enviar o documento por e-mail.,mensagem_legitima
Amanhã estarei em home office.,mensagem_legitima
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
Já recebeu o relatório financeiro?,mensagem_legitima
Pode confirmar presença na reunião amanhã?,mensagem_legitima
Receita Federal: notificação de pendência fiscal.,golpe
Solicite seu FGTS emergencial. Clique aqui.,golpe
Amanhã estarei em home office.,mensagem_legitima
O almoço está marcado para 13h.,mensagem_legitima
O almoço está marcado para 13h.,mensagem_legitima
Bom final de semana para todos!,mensagem_legitima
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Vamos viajar no feriado?,mensagem_legitima
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
"Receita Federal: Seu CPF está irregular, regularize agora: http://cpf-federal.com",golpe
O almoço está marcado para 13h.,mensagem_legitima
Você possui valores a receber. Consulte agora mesmo!,golpe
"Oi, bom dia! Tudo certo para hoje?",mensagem_legitima
Precisa de alguma coisa do supermercado?,mensagem_legitima
Já recebeu o relatório financeiro?,mensagem_legitima
Pode confirmar presença na reunião amanhã?,mensagem_legitima
"Recebi seu e-mail, obrigado pelo envio.",mensagem_legitima
"Recebi seu e-mail, obrigado pelo envio.",mensagem_legitima
"PIX não identificado, envie novamente para regularizar.",golpe
"A senha do Wi-Fi mudou, te envio depois.",mensagem_legitima
"Sua conta será encerrada em 24h, acesse: http://atualizacao-banco.com",golpe
Vou te enviar o documento por e-mail.,mensagem_legitima
Já recebeu o relatório financeiro?,mensagem_legitima
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
Vamos viajar no feriado?,mensagem_legitima
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
"Olá, aqui é do INSS. Verificamos um problema no seu benefício.",golpe
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
Vamos viajar no feriado?,mensagem_legitima
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
Receita Federal: notificação de pendência fiscal.,golpe
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
Precisa de alguma coisa do supermercado?,mensagem_legitima
Solicite seu FGTS emergencial. Clique aqui.,golpe
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
O pagamento do aluguel foi feito.,mensagem_legitima
URGENTE: Detectamos acesso suspeito. Atualize sua senha neste link.,golpe
Receita Federal: notificação de pendência fiscal.,golpe
"A senha do Wi-Fi mudou, te envio depois.",mensagem_legitima
"A senha do Wi-Fi mudou, te envio depois.",mensagem_legitima
Seus pontos do cartão estão expirando. Cadastre para resgatar.,golpe
Você possui valores a receber. Consulte agora mesmo!,golpe
Você ganhou um desconto exclusivo. Cadastre aqui.,golpe
Sua assinatura foi cancelada. Clique para evitar perda do serviço.,golpe
O almoço está marcado para 13h.,mensagem_legitima
Favor encaminhar o comprovante de pagamento.,mensagem_legitima
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
"Olá, perdi meu celular e estou precisando de um pix urgente. Me ajuda?",golpe
Bom final de semana para todos!,mensagem_legitima
"A transferência foi realizada, cheque seu extrato.",mensagem_legitima
"PIX não identificado, envie novamente para regularizar.",golpe
"Olá, aqui é do INSS. Verificamos um problema no seu benefício.",golpe
Bom final de semana para todos!,mensagem_legitima
Você ganhou um desconto exclusivo. Cadastre aqui.,golpe
Você possui valores a receber. Consulte agora mesmo!,golpe
Promoção relâmpago: Ganhe um iPhone grátis. Envie seus dados aqui.,golpe
"Olá, aqui é do INSS. Verificamos um problema no seu benefício.",golpe
"Oi, aqui é do suporte do seu banco. Preciso que você confirme os dados para desbloquear sua conta.",golpe
Solicite seu FGTS emergencial. Clique aqui.,golpe
Pode confirmar presença na reunião amanhã?,mensagem_legitima
"PIX não identificado, envie novamente para regularizar.",golpe
